시도교육청명,행정표준코드,학교명,학교과정명,분석단위ID,학교표시명,전체일수,방학일수,메인분석일수,휴업일수,수업일수,추론방학일수
부산광역시교육청,7191063,동명초등학교,초등학교,C10_7191063_초등학교,동명초등학교 (초등학교),365,83,282,94,188,0
부산광역시교육청,7191064,동상초등학교,초등학교,C10_7191064_초등학교,동상초등학교 (초등학교),365,84,281,93,188,0
부산광역시교육청,7191065,동현초등학교,초등학교,C10_7191065_초등학교,동현초등학교 (초등학교),365,80,285,94,191,0
부산광역시교육청,7191066,두실초등학교,초등학교,C10_7191066_초등학교,두실초등학교 (초등학교),365,81,284,94,190,0
부산광역시교육청,7191067,명동초등학교,초등학교,C10_7191067_초등학교,명동초등학교 (초등학교),365,83,282,93,189,0
부산광역시교육청,7191068,명륜초등학교,초등학교,C10_7191068_초등학교,명륜초등학교 (초등학교),365,85,280,92,188,0
부산광역시교육청,7191069,명서초등학교,초등학교,C10_7191069_초등학교,명서초등학교 (초등학교),365,86,279,91,188,0
부산광역시교육청,7191070,명장초등학교,초등학교,C10_7191070_초등학교,명장초등학교 (초등학교),365,85,280,92,188,0
부산광역시교육청,7191071,미남초등학교,초등학교,C10_7191071_초등학교,미남초등학교 (초등학교),365,86,279,91,188,0
부산광역시교육청,7191072,부곡초등학교,초등학교,C10_7191072_초등학교,부곡초등학교 (초등학교),365,88,277,89,188,0
부산광역시교육청,7191073,사직초등학교,초등학교,C10_7191073_초등학교,사직초등학교 (초등학교),365,84,281,93,188,0
부산광역시교육청,7191075,서동초등학교,초등학교,C10_7191075_초등학교,서동초등학교 (초등학교),365,80,285,96,189,0
부산광역시교육청,7191076,서명초등학교,초등학교,C10_7191076_초등학교,서명초등학교 (초등학교),365,84,281,93,188,0
부산광역시교육청,7191077,수안초등학교,초등학교,C10_7191077_초등학교,수안초등학교 (초등학교),365,82,283,93,190,0
부산광역시교육청,7191078,안남초등학교,초등학교,C10_7191078_초등학교,안남초등학교 (초등학교),365,82,283,94,189,0
부산광역시교육청,7191079,안락초등학교,초등학교,C10_7191079_초등학교,안락초등학교 (초등학교),365,84,281,93,188,0
부산광역시교육청,7191080,안민초등학교,초등학교,C10_7191080_초등학교,안민초등학교 (초등학교),365,84,281,92,189,0
부산광역시교육청,7191081,안진초등학교,초등학교,C10_7191081_초등학교,안진초등학교 (초등학교),365,83,282,93,189,0
부산광역시교육청,7191082,여고초등학교,초등학교,C10_7191082_초등학교,여고초등학교 (초등학교),365,86,279,91,188,0
부산광역시교육청,7191083,연동초등학교,초등학교,C10_7191083_초등학교,연동초등학교 (초등학교),365,88,277,89,188,0
부산광역시교육청,7191084,연미초등학교,초등학교,C10_7191084_초등학교,연미초등학교 (초등학교),365,87,278,90,188,0
부산광역시교육청,7191085,연산초등학교,초등학교,C10_7191085_초등학교,연산초등학교 (초등학교),365,85,280,92,188,0
부산광역시교육청,7191086,연서초등학교,초등학교,C10_7191086_초등학교,연서초등학교 (초등학교),365,81,284,93,191,0
부산광역시교육청,7191087,연신초등학교,초등학교,C10_7191087_초등학교,연신초등학교 (초등학교),365,82,283,94,189,0
부산광역시교육청,7191088,연일초등학교,초등학교,C10_7191088_초등학교,연일초등학교 (초등학교),365,84,281,93,188,0
부산광역시교육청,7191089,연제초등학교,초등학교,C10_7191089_초등학교,연제초등학교 (초등학교),365,87,278,90,188,0
부산광역시교육청,7191090,연천초등학교,초등학교,C10_7191090_초등학교,연천초등학교 (초등학교),365,80,285,94,191,0
부산광역시교육청,7191091,예원초등학교,초등학교,C10_7191091_초등학교,예원초등학교 (초등학교),365,78,287,98,189,0
부산광역시교육청,7191092,온천초등학교,초등학교,C10_7191092_초등학교,온천초등학교 (초등학교),365,86,279,91,188,0
부산광역시교육청,7191093,장서초등학교,초등학교,C10_7191093_초등학교,장서초등학교 (초등학교),365,81,284,96,188,0
부산광역시교육청,7191094,장전초등학교,초등학교,C10_7191094_초등학교,장전초등학교 (초등학교),365,84,281,93,188,0
부산광역시교육청,7191095,창신초등학교,초등학교,C10_7191095_초등학교,창신초등학교 (초등학교),365,87,278,90,188,0
부산광역시교육청,7191096,청룡초등학교,초등학교,C10_7191096_초등학교,청룡초등학교 (초등학교),365,85,280,90,190,0
부산광역시교육청,7191097,충렬초등학교,초등학교,C10_7191097_초등학교,충렬초등학교 (초등학교),365,84,281,93,188,0
부산광역시교육청,7191098,토현초등학교,초등학교,C10_7191098_초등학교,토현초등학교 (초등학교),365,84,281,93,188,0
부산광역시교육청,7191099,현곡초등학교,초등학교,C10_7191099_초등학교,현곡초등학교 (초등학교),365,88,277,90,187,0
부산광역시교육청,7191101,동래초등학교,초등학교,C10_7191101_초등학교,동래초등학교 (초등학교),365,76,289,100,189,0
부산광역시교육청,7191102,혜화초등학교,초등학교,C10_7191102_초등학교,혜화초등학교 (초등학교),365,85,280,93,187,0
부산광역시교육청,7191180,금빛초등학교,초등학교,C10_7191180_초등학교,금빛초등학교 (초등학교),365,80,285,96,189,0
부산광역시교육청,7191199,브니엘예술중학교,중학교,C10_7191199_중학교,브니엘예술중학교 (중학교),365,67,298,101,197,0
부산광역시교육청,7191202,부산삼육초등학교,초등학교,C10_7191202_초등학교,부산삼육초등학교 (초등학교),365,87,278,90,188,0
부산광역시교육청,7191214,온샘초등학교,초등학교,C10_7191214_초등학교,온샘초등학교 (초등학교),365,83,282,94,188,0
부산광역시교육청,7201011,가람중학교,중학교,C10_7201011_중학교,가람중학교 (중학교),365,81,284,95,189,0
부산광역시교육청,7201012,구남중학교,중학교,C10_7201012_중학교,구남중학교 (중학교),365,82,283,95,188,0
부산광역시교육청,7201013,구포중학교,중학교,C10_7201013_중학교,구포중학교 (중학교),365,83,282,93,189,0
부산광역시교육청,7201014,금곡중학교,중학교,C10_7201014_중학교,금곡중학교 (중학교),365,78,287,98,189,0
부산광역시교육청,7201015,금명중학교,중학교,C10_7201015_중학교,금명중학교 (중학교),365,77,288,97,191,0
부산광역시교육청,7201016,낙동중학교,중학교,C10_7201016_중학교,낙동중학교 (중학교),365,78,287,99,188,0
부산광역시교육청,7201017,대천리중학교,중학교,C10_7201017_중학교,대천리중학교 (중학교),365,87,278,90,188,0
부산광역시교육청,7201018,덕문중학교,중학교,C10_7201018_중학교,덕문중학교 (중학교),365,80,285,96,189,0
부산광역시교육청,7201020,덕천중학교,중학교,C10_7201020_중학교,덕천중학교 (중학교),365,83,282,93,189,0
부산광역시교육청,7201021,덕포여자중학교,중학교,C10_7201021_중학교,덕포여자중학교 (중학교),365,82,283,93,190,0
부산광역시교육청,7201022,동주중학교,중학교,C10_7201022_중학교,동주중학교 (중학교),365,80,285,96,189,0
부산광역시교육청,7201023,만덕중학교,중학교,C10_7201023_중학교,만덕중학교 (중학교),365,87,278,90,188,0
부산광역시교육청,7201024,명진중학교,중학교,C10_7201024_중학교,명진중학교 (중학교),365,79,286,97,189,0
부산광역시교육청,7201025,명호중학교,중학교,C10_7201025_중학교,명호중학교 (중학교),365,76,289,98,191,0
부산광역시교육청,7201026,모동중학교,중학교,C10_7201026_중학교,모동중학교 (중학교),365,82,283,94,189,0
부산광역시교육청,7201027,모라중학교,중학교,C10_7201027_중학교,모라중학교 (중학교),365,1,364,121,243,0
부산광역시교육청,7201028,백양중학교,중학교,C10_7201028_중학교,백양중학교 (중학교),365,84,281,93,188,0
