시도교육청코드,시도교육청명,행정표준코드,학교명,학교과정명,분석단위ID,학교표시명,분석일수,휴업일수,수업일수,평균기억점수,평균위험점수,최대위험점수,최저기억점수,고위험일수,휴업일비율,고위험일비율,최종위험지수,위험등급,방학일수,추론방학일수,위험백분위,상대위험등급
R10,경상북도교육청,8841056,문경서중학교,중학교,R10_8841056_중학교,문경서중학교 (중학교),323,134,189,73.93752129625314,26.06247870374686,79.67199561844602,20.32800438155398,21,41.48606811145511,6.5015479876160995,20.19419948890763,낮음,42,0,99.46951702296121,상위 5%
D10,대구광역시교육청,7281012,천내중학교,중학교,D10_7281012_중학교,천내중학교 (중학교),308,118,190,74.21281065247716,25.78718934752284,79.67199561844602,20.32800438155398,22,38.311688311688314,7.142857142857142,20.19388968612313,낮음,57,0,99.46159936658749,상위 5%
R10,경상북도교육청,8901021,강구초등학교,초등학교,R10_8901021_초등학교,강구초등학교 (초등학교),306,118,188,74.09393295865944,25.906067041340563,80.81736173787954,19.18263826212047,21,38.56209150326798,6.862745098039216,20.193070458350157,낮음,59,0,99.45368171021379,상위 5%
N10,충청남도교육청,8201013,군북초등학교,초등학교,N10_8201013_초등학교,군북초등학교 (초등학교),305,117,188,74.10864912970241,25.89135087029759,80.81736173787954,19.18263826212047,21,38.36065573770492,6.885245901639345,20.189519379700116,낮음,60,0,99.44576405384005,상위 5%
R10,경상북도교육청,8750356,경희학교,중학교,R10_8750356_중학교,경희학교 (중학교),299,113,186,74.17734554945609,25.822654450543908,82.95305462748539,17.04694537251461,21,37.79264214046823,7.023411371237458,20.18288152675197,낮음,66,0,99.42992874109264,상위 5%
R10,경상북도교육청,8750356,경희학교,고등학교,R10_8750356_고등학교,경희학교 (고등학교),299,113,186,74.17734554945609,25.822654450543908,82.95305462748539,17.04694537251461,21,37.79264214046823,7.023411371237458,20.18288152675197,낮음,66,0,99.42992874109264,상위 5%
R10,경상북도교육청,8750356,경희학교,초등학교,R10_8750356_초등학교,경희학교 (초등학교),299,113,186,74.17734554945609,25.822654450543908,82.95305462748539,17.04694537251461,21,37.79264214046823,7.023411371237458,20.18288152675197,낮음,66,0,99.42992874109264,상위 5%
R10,경상북도교육청,8791047,길안초등학교,초등학교,R10_8791047_초등학교,길안초등학교 (초등학교),305,117,188,74.30263642048183,25.697363579518168,79.67199561844602,20.32800438155398,22,38.36065573770492,7.213114754098362,20.152088931892226,낮음,60,0,99.41013460015836,상위 5%
R10,경상북도교육청,8791077,길안초등학교길송분교장,초등학교,R10_8791077_초등학교,길안초등학교길송분교장 (초등학교),305,117,188,74.30263642048183,25.697363579518168,79.67199561844602,20.32800438155398,22,38.36065573770492,7.213114754098362,20.152088931892226,낮음,60,0,99.41013460015836,상위 5%
D10,대구광역시교육청,7271030,상원중학교,중학교,D10_7271030_중학교,상원중학교 (중학교),309,119,190,74.1790305172244,25.8209694827756,80.81736173787954,19.18263826212047,21,38.51132686084142,6.796116504854369,20.113513589399226,낮음,56,0,99.39825811559778,상위 5%
