분석단위ID,detail_file
B10_7011468_고등학교,details/detail_part_000.parquet
B10_7011468_중학교,details/detail_part_000.parquet
B10_7011468_초등학교,details/detail_part_000.parquet
B10_7011482_고등학교,details/detail_part_000.parquet
B10_7011483_고등학교,details/detail_part_000.parquet
B10_7011483_중학교,details/detail_part_000.parquet
B10_7011483_초등학교,details/detail_part_000.parquet
B10_7011484_고등학교,details/detail_part_000.parquet
B10_7011484_중학교,details/detail_part_000.parquet
B10_7011484_초등학교,details/detail_part_000.parquet
B10_7011485_고등학교,details/detail_part_000.parquet
B10_7011485_중학교,details/detail_part_000.parquet
B10_7011485_초등학교,details/detail_part_000.parquet
B10_7011486_고등학교,details/detail_part_000.parquet
B10_7011487_고등학교,details/detail_part_000.parquet
B10_7011488_고등학교,details/detail_part_000.parquet
B10_7011489_고등학교,details/detail_part_000.parquet
B10_7011490_고등학교,details/detail_part_000.parquet
B10_7011491_고등학교,details/detail_part_000.parquet
B10_7011492_고등학교,details/detail_part_000.parquet
B10_7011493_고등학교,details/detail_part_000.parquet
B10_7011494_고등학교,details/detail_part_000.parquet
B10_7011495_고등학교,details/detail_part_000.parquet
B10_7011498_고등학교,details/detail_part_000.parquet
B10_7011505_고등학교,details/detail_part_000.parquet
B10_7011506_고등학교,details/detail_part_000.parquet
B10_7011507_고등학교,details/detail_part_000.parquet
B10_7011508_고등학교,details/detail_part_000.parquet
B10_7011513_고등학교,details/detail_part_000.parquet
B10_7011539_고등학교,details/detail_part_000.parquet
B10_7011540_고등학교,details/detail_part_000.parquet
B10_7011558_고등학교,details/detail_part_000.parquet
B10_7011568_고등학교,details/detail_part_000.parquet
B10_7011569_고등학교,details/detail_part_000.parquet
B10_7011575_고등학교,details/detail_part_000.parquet
B10_7011583_고등학교,details/detail_part_000.parquet
B10_7011584_고등학교,details/detail_part_000.parquet
B10_7011585_고등학교,details/detail_part_000.parquet
B10_7011586_고등학교,details/detail_part_000.parquet
B10_7011650_고등학교,details/detail_part_000.parquet
B10_7011651_고등학교,details/detail_part_000.parquet
B10_7021079_초등학교,details/detail_part_000.parquet
B10_7021080_초등학교,details/detail_part_000.parquet
B10_7021082_초등학교,details/detail_part_000.parquet
B10_7021083_초등학교,details/detail_part_000.parquet
B10_7021084_초등학교,details/detail_part_000.parquet
B10_7021085_초등학교,details/detail_part_000.parquet
B10_7021086_초등학교,details/detail_part_000.parquet
B10_7021087_초등학교,details/detail_part_000.parquet
B10_7021088_초등학교,details/detail_part_000.parquet
B10_7021089_초등학교,details/detail_part_000.parquet
B10_7021090_초등학교,details/detail_part_000.parquet
B10_7021091_초등학교,details/detail_part_000.parquet
B10_7021093_초등학교,details/detail_part_000.parquet
B10_7021094_초등학교,details/detail_part_000.parquet
B10_7021095_초등학교,details/detail_part_000.parquet
B10_7021096_초등학교,details/detail_part_000.parquet
B10_7021097_초등학교,details/detail_part_000.parquet
B10_7021098_초등학교,details/detail_part_000.parquet
B10_7021099_초등학교,details/detail_part_000.parquet
B10_7021100_초등학교,details/detail_part_000.parquet
B10_7021101_초등학교,details/detail_part_000.parquet
B10_7021102_초등학교,details/detail_part_000.parquet
B10_7021103_초등학교,details/detail_part_000.parquet
B10_7021104_초등학교,details/detail_part_000.parquet
B10_7021105_초등학교,details/detail_part_000.parquet
B10_7021106_초등학교,details/detail_part_000.parquet
B10_7021107_초등학교,details/detail_part_000.parquet
B10_7021108_초등학교,details/detail_part_000.parquet
B10_7021109_초등학교,details/detail_part_000.parquet
B10_7021110_초등학교,details/detail_part_000.parquet
B10_7021111_초등학교,details/detail_part_000.parquet
B10_7021112_초등학교,details/detail_part_000.parquet
B10_7021113_초등학교,details/detail_part_000.parquet
B10_7021114_초등학교,details/detail_part_000.parquet
B10_7021115_초등학교,details/detail_part_000.parquet
B10_7021116_초등학교,details/detail_part_000.parquet
B10_7021117_초등학교,details/detail_part_000.parquet
B10_7021118_초등학교,details/detail_part_000.parquet
B10_7021119_초등학교,details/detail_part_000.parquet
B10_7021120_초등학교,details/detail_part_000.parquet
B10_7021121_초등학교,details/detail_part_000.parquet
B10_7021122_중학교,details/detail_part_000.parquet
B10_7021123_중학교,details/detail_part_000.parquet
B10_7021124_중학교,details/detail_part_000.parquet
B10_7021125_중학교,details/detail_part_000.parquet
B10_7021126_중학교,details/detail_part_000.parquet
B10_7021127_중학교,details/detail_part_000.parquet
B10_7021128_중학교,details/detail_part_000.parquet
B10_7021129_중학교,details/detail_part_000.parquet
B10_7021130_중학교,details/detail_part_000.parquet
B10_7021131_중학교,details/detail_part_000.parquet
B10_7021133_중학교,details/detail_part_000.parquet
B10_7021134_중학교,details/detail_part_000.parquet
B10_7021135_중학교,details/detail_part_000.parquet
B10_7021136_중학교,details/detail_part_000.parquet
B10_7021137_중학교,details/detail_part_000.parquet
B10_7021138_중학교,details/detail_part_000.parquet
B10_7021139_중학교,details/detail_part_000.parquet
B10_7021140_중학교,details/detail_part_000.parquet
B10_7021141_중학교,details/detail_part_000.parquet
B10_7021142_중학교,details/detail_part_000.parquet
B10_7021143_중학교,details/detail_part_000.parquet
B10_7021144_중학교,details/detail_part_000.parquet
B10_7021145_중학교,details/detail_part_000.parquet
B10_7021146_중학교,details/detail_part_000.parquet
B10_7021147_중학교,details/detail_part_000.parquet
B10_7021148_중학교,details/detail_part_000.parquet
B10_7021149_중학교,details/detail_part_000.parquet
B10_7021150_중학교,details/detail_part_000.parquet
B10_7021168_초등학교,details/detail_part_000.parquet
B10_7021181_초등학교,details/detail_part_000.parquet
B10_7021205_초등학교,details/detail_part_000.parquet
B10_7021211_중학교,details/detail_part_000.parquet
B10_7031110_초등학교,details/detail_part_000.parquet
B10_7031111_초등학교,details/detail_part_000.parquet
B10_7031112_초등학교,details/detail_part_000.parquet
B10_7031113_초등학교,details/detail_part_000.parquet
B10_7031114_초등학교,details/detail_part_000.parquet
B10_7031115_초등학교,details/detail_part_000.parquet
B10_7031116_초등학교,details/detail_part_000.parquet
B10_7031117_초등학교,details/detail_part_000.parquet
B10_7031118_초등학교,details/detail_part_000.parquet
B10_7031119_초등학교,details/detail_part_000.parquet
B10_7031120_초등학교,details/detail_part_000.parquet
B10_7031121_초등학교,details/detail_part_000.parquet
B10_7031122_초등학교,details/detail_part_000.parquet
B10_7031123_초등학교,details/detail_part_000.parquet
B10_7031124_초등학교,details/detail_part_000.parquet
B10_7031125_초등학교,details/detail_part_000.parquet
B10_7031126_초등학교,details/detail_part_000.parquet
B10_7031127_초등학교,details/detail_part_000.parquet
B10_7031128_초등학교,details/detail_part_000.parquet
B10_7031129_초등학교,details/detail_part_000.parquet
B10_7031130_초등학교,details/detail_part_000.parquet
